"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"3378","Catholic","Lowest","Medium","Low","Highest","Highest","High","FALSE","Low","Medium","Medium","Low","Medium","Medium","High","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3379","Catholic","Lowest","Low","Low","High","High","High","FALSE","Highest","Highest","Highest","Medium","Highest","Medium","Lowest","Highest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3381","Catholic","Medium","Medium","Low","Lowest","Lowest","Low","FALSE","Highest","High","High","Low","Medium","Medium","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3382","Catholic","Low","Low","Low","High","High","Lowest","FALSE","Lowest","Lowest","Lowest","Low","Medium","Low","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3383","Catholic","Low","Medium","Low","High","High","Lowest","FALSE","Medium","Low","Highest","Medium","Low","Highest","Lowest","High","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3384","Catholic","Medium","High","Low","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Medium","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3385","Catholic","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","Highest","High","Highest","High","Lowest","Highest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3387","Catholic","High","Low","Low","Medium","Medium","High","FALSE","High","High","High","Low","Lowest","Lowest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3389","Catholic","Low","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Medium","Lowest","Medium","Low","Low","Medium","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3390","Catholic","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","High","Highest","High","Medium","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3391","Catholic","High","Medium","Low","Lowest","Lowest","Lowest","FALSE","Highest","Medium","High","High","High","High","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3393","Catholic","Medium","Low","Lowest","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Medium","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3394","Catholic","Medium","Medium","Low","High","High","High","FALSE","Highest","Highest","Highest","Medium","Medium","High","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3395","Catholic","Low","Low","Low","Medium","Medium","Medium","FALSE","Lowest","Highest","High","Lowest","Lowest","Low","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3396","Catholic","Lowest","Medium","Low","Medium","Medium","Medium","FALSE","Highest","Highest","Highest","Highest","Highest","High","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3397","Catholic","Medium","Low","Low","Medium","Medium","High","FALSE","Medium","High","Medium","Lowest","Low","Medium","Lowest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3398","Catholic","Medium","Low","Low","Low","Lowest","Low","FALSE","Medium","Medium","High","Low","Low","Low","Medium","High","YES","NO","YES","Lowest","Low","Low","Low"
"3399","Catholic","Medium","Highest","Low","Highest","Highest","Medium","FALSE","Low","Medium","Low","Medium","Medium","High","Highest","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3400","Catholic","Lowest","Medium","Low","Medium","Medium","High","FALSE","Highest","Highest","Low","High","Highest","High","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3401","Catholic","Medium","High","Low","Medium","Medium","High","FALSE","Low","Medium","Medium","Low","Low","High","High","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3402","Catholic","Low","Lowest","Low","Medium","Medium","Medium","FALSE","Medium","Medium","Medium","Medium","High","Low","Medium","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3403","Catholic","Medium","High","Low","Low","Lowest","Lowest","FALSE","High","Medium","High","Low","Low","Low","Low","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3406","Catholic","Medium","Medium","Lowest","Medium","Medium","Medium","FALSE","High","High","Highest","Lowest","Lowest","Low","Low","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3407","Catholic","Highest","Medium","Low","Low","Low","Low","FALSE","Low","High","Medium","Medium","High","High","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3408","Catholic","Lowest","Medium","Low","Medium","Medium","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3409","Catholic","High","High","Low","Low","Low","High","FALSE","Medium","Low","Low","Low","Low","Highest","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3410","Catholic","Low","High","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Medium","Highest","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3411","Catholic","High","High","Low","Low","Low","Low","FALSE","Highest","Highest","Highest","High","High","Highest","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3412","Catholic","High","Lowest","Low","Medium","Medium","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3413","Catholic","Medium","Low","Low","Medium","Medium","Low","FALSE","High","Highest","Highest","Highest","High","High","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3414","Catholic","High","Low","Low","High","High","Low","FALSE","High","Medium","Medium","Medium","Medium","High","Low","High","YES","NO","YES","Lowest","Low","Low","Low"
"3415","Catholic","High","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Lowest","Low","Medium","Medium","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3416","Catholic","High","High","Low","Lowest","Lowest","Medium","FALSE","High","High","High","Medium","Medium","Medium","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3417","Catholic","High","Medium","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","Low","High","Medium","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3418","Catholic","Lowest","Medium","Low","High","High","Medium","FALSE","High","Highest","Highest","Highest","Medium","High","Medium","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3419","Catholic","Medium","High","Low","Highest","Highest","High","FALSE","Highest","Highest","Highest","High","High","High","High","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3420","Catholic","Low","Medium","Low","Medium","Medium","Lowest","FALSE","High","High","Highest","Low","Lowest","High","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3421","Catholic","Medium","Medium","Low","Medium","Medium","Medium","FALSE","Low","Low","High","Highest","High","High","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"3422","Catholic","Medium","Medium","Low","Medium","Medium","Medium","FALSE","High","High","High","Medium","High","Medium","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3423","Catholic","High","Low","Low","Lowest","Lowest","Low","FALSE","High","Highest","High","Medium","High","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3424","Catholic","Lowest","Low","Low","Medium","Medium","Lowest","FALSE","High","Low","Medium","Highest","High","Highest","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3425","Catholic","Medium","Low","Low","Medium","Medium","Medium","FALSE","Lowest","Low","Medium","Low","Lowest","Low","Low","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3426","Catholic","Low","Medium","Low","High","High","Medium","FALSE","Medium","High","High","Medium","High","Medium","High","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3427","Catholic","Low","Medium","Low","Medium","Medium","Medium","FALSE","Highest","High","Highest","Medium","Medium","Highest","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3428","Catholic","Lowest","Medium","Low","Medium","Medium","Medium","FALSE","Medium","Low","Low","Highest","High","Highest","Lowest","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3429","Catholic","Highest","Lowest","Low","Medium","Medium","Low","FALSE","Low","Low","Medium","Low","Medium","Medium","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3431","Catholic","Low","Low","Low","High","High","Medium","FALSE","Medium","Medium","Medium","Highest","Medium","Highest","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3432","Catholic","Low","Medium","Low","Low","Low","Medium","FALSE","Medium","Highest","Low","Lowest","Low","Lowest","Highest","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3433","Catholic","High","Medium","Low","Medium","Medium","High","FALSE","Low","High","Medium","Lowest","Lowest","Low","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3434","Catholic","High","Lowest","Low","Medium","Medium","Low","FALSE","Highest","High","Highest","Low","Low","Low","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3435","Catholic","Medium","Lowest","Low","Low","Medium","Low","FALSE","Highest","Highest","Highest","Medium","High","Medium","Lowest","Highest","YES","NO","NO","Highest","Low","Low","Low"
"3436","Catholic","Medium","Low","Lowest","Low","Medium","Lowest","FALSE","Highest","Highest","Highest","High","High","Highest","Low","High","YES","NO","NO","Highest","Low","Low","Low"
"3437","Catholic","Low","Medium","Low","Low","Low","High","FALSE","Medium","Medium","Low","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3438","Catholic","Lowest","Low","Low","Low","Medium","Low","FALSE","Medium","Medium","Low","Highest","High","Highest","Lowest","High","YES","NO","NO","Highest","Low","Low","Low"
"3440","Catholic","Lowest","Medium","Low","High","High","Highest","FALSE","Medium","Medium","High","Medium","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3441","Catholic","High","Medium","Low","Low","Lowest","Medium","FALSE","High","Medium","High","High","High","Medium","High","Lowest","YES","NO","YES","Highest","Low","Low","Low"
"3443","Catholic","High","Medium","Low","Low","Low","High","FALSE","Highest","Highest","Highest","Medium","Medium","Medium","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3444","Catholic","Lowest","Lowest","Low","Low","Medium","Medium","FALSE","High","High","High","Medium","High","Medium","Medium","Low","YES","NO","NO","Highest","Low","Low","Low"
"3445","Catholic","Lowest","Low","Low","Low","Medium","Medium","FALSE","Highest","Highest","High","High","High","Highest","Low","High","YES","NO","NO","Highest","Low","Low","Low"
"3446","Catholic","High","Lowest","Lowest","Low","Medium","Lowest","FALSE","High","Medium","Medium","Medium","Medium","Medium","Low","Low","YES","NO","YES","Highest","Low","Low","Low"
"3447","Catholic","Highest","Low","Low","Low","Medium","Lowest","FALSE","Highest","High","High","Medium","Medium","Lowest","Lowest","High","YES","NO","NO","Highest","Low","Low","Low"
"3448","Catholic","Low","Medium","Low","Low","Medium","Lowest","FALSE","Highest","High","Highest","Medium","High","Medium","High","High","YES","NO","NO","Highest","Low","Low","Low"
"3449","Catholic","Lowest","Medium","Lowest","Medium","Medium","High","FALSE","Low","Medium","Low","Low","Medium","Medium","Highest","Low","YES","NO","NO","Highest","Low","Low","Low"
"3450","Catholic","High","Medium","Lowest","Medium","Medium","Lowest","FALSE","Low","Low","Low","High","Medium","Medium","High","Low","YES","NO","NO","Highest","Low","Low","Low"
"3453","Catholic","Lowest","Low","Low","Low","Medium","Highest","FALSE","Low","Low","Low","Highest","High","Medium","High","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3455","Catholic","Lowest","Low","Low","Low","Medium","Medium","FALSE","Highest","Highest","Highest","Medium","Low","Low","Lowest","Medium","YES","NO","NO","Highest","Low","Low","Low"
"3457","Catholic","High","Lowest","Low","Low","Medium","Medium","FALSE","Highest","Highest","Lowest","Low","Medium","Low","Lowest","High","YES","NO","NO","Highest","Low","Low","Low"
"3460","Catholic","Medium","Lowest","Low","Low","Medium","Medium","FALSE","Highest","Highest","Low","High","Highest","Medium","Medium","Medium","YES","NO","NO","Highest","Low","Low","Low"
"3461","Catholic","Lowest","Low","Low","Low","Medium","High","FALSE","Highest","Low","Lowest","Low","Medium","Low","Medium","High","YES","NO","NO","Highest","Low","Low","Low"
"3462","Catholic","Medium","Low","Low","Low","Medium","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Low","High","YES","YES","NO","Highest","Low","Low","Low"
"3463","Catholic","High","Medium","Lowest","Low","Low","High","FALSE","High","Highest","High","Medium","Medium","High","Highest","Low","YES","NO","NO","Highest","Low","Low","Low"
"3464","Catholic","Low","Low","Low","Low","Medium","Medium","FALSE","Lowest","Lowest","Low","High","High","Highest","High","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3465","Catholic","Lowest","Low","Lowest","Low","Medium","Medium","FALSE","Low","Low","Lowest","Lowest","Low","Lowest","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3467","Catholic","Medium","Medium","Lowest","Medium","Medium","Highest","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3469","Catholic","Medium","Low","Low","Lowest","Lowest","Low","FALSE","Low","High","Medium","High","High","Highest","Low","Medium","YES","NO","NO","Highest","Low","Low","Low"
"3471","Catholic","Low","Low","Low","Low","Medium","Medium","FALSE","Highest","Highest","High","Medium","High","High","Medium","High","YES","NO","NO","Highest","Low","Low","Low"
"3472","Catholic","Low","Low","Low","Low","Medium","Low","FALSE","Highest","Highest","High","Highest","Highest","Highest","Low","Medium","YES","NO","NO","Highest","Low","Low","Low"
"3473","Catholic","Lowest","Lowest","Low","Low","Medium","High","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3474","Catholic","Highest","Medium","Low","Low","Lowest","Low","FALSE","Medium","Medium","High","High","Medium","High","Medium","High","YES","NO","NO","Highest","Low","Low","Low"
"3475","Catholic","Lowest","Low","Low","Low","Medium","High","FALSE","High","Highest","Highest","Medium","Low","Low","High","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3476","Catholic","Low","Low","Lowest","Low","Medium","High","FALSE","Lowest","Lowest","Lowest","High","High","Low","High","Low","YES","NO","NO","Highest","Low","Low","Low"
"3477","Catholic","Lowest","Low","Low","Low","Medium","Medium","FALSE","Low","Medium","Lowest","Lowest","Low","Lowest","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3478","Catholic","Lowest","Low","Low","Low","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Highest","Highest","Low","Low","Low","YES","NO","NO","Highest","Low","Low","Low"
"3479","Catholic","High","Low","Low","Low","Medium","Low","FALSE","Medium","High","Medium","Medium","Low","Lowest","Lowest","Low","YES","NO","NO","Highest","Low","Low","Low"
"3480","Catholic","Lowest","Low","Low","Low","Medium","Highest","FALSE","High","Highest","High","Lowest","Medium","Low","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3481","Catholic","Low","Low","Low","Low","Medium","High","FALSE","High","Highest","High","Highest","Highest","Highest","Low","High","YES","NO","NO","Highest","Low","Low","Low"
"3483","Catholic","Low","Medium","Lowest","Low","Medium","Medium","FALSE","Highest","Highest","Medium","Highest","Medium","High","High","Low","YES","NO","YES","Highest","Low","Low","Low"
"3484","Catholic","High","Lowest","Lowest","Low","Medium","Low","FALSE","Medium","High","Low","Low","Low","Lowest","Lowest","High","YES","NO","YES","Highest","Low","Low","Low"
"3485","Catholic","Medium","Low","Low","Low","Medium","Low","FALSE","Low","Medium","Low","Low","Medium","High","High","Low","YES","NO","NO","Highest","Low","Low","Low"
"3486","Catholic","Lowest","Lowest","Low","Low","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Medium","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
"3487","Catholic","Low","Low","Low","Low","Medium","Highest","FALSE","Low","Lowest","Lowest","High","Low","Low","High","Low","YES","NO","NO","Highest","Low","Low","Low"
"3488","Catholic","Low","Medium","Low","Low","Medium","High","FALSE","Low","Low","Low","High","High","High","Highest","Low","YES","NO","NO","Highest","Low","Low","Low"
"3489","Catholic","Highest","Medium","Low","Low","Medium","Medium","FALSE","High","Medium","High","Low","Medium","Lowest","Low","High","YES","NO","NO","Highest","Low","Low","Low"
"3491","Catholic","Lowest","Low","Lowest","Low","Medium","High","FALSE","Low","Medium","Medium","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Highest","Low","Low","Low"
