"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"3116","B67083","786730","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",327,"32.7","100","4.3","4.3","18.9",NA,"81%","95%","76%","91%","88%","59%","17.4","52.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3117","B67083","750042","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",154,"22.1","100","8.4","8.4","17.5",NA,"62%","38%","38%","92%","92%","38%","20.2","44.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3118","B67083","819219","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",375,"14.4","99.7","4.5","4.5","9.6",NA,"62%","68%","40%","86%","86%","33%","11.8","52.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3119","B67083","708143","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",534,"28.1","100","4.7","4.7","13.1",NA,"66%","68%","43%","73%","76%","29%","12.3","48.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3120","B67083","819433","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",485,"17.1","100","3.5","3.5","15.4","SP","79%","77%","65%","82%","88%","51%","14.4","71.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3121","B67083","789143","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",377,"34","99.7","5.8","5.8","14",NA,"96%","92%","60%","85%","90%","55%","15.8","54.2","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3122","B67083","783161","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",208,"31.3","99.5","11.1","11.1","14.9",NA,"67%","71%","58%","76%","100%","24%","26.8","37.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3123","B67083","770620","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",501,"9.4","100","2.2","2.2","11.5",NA,"82%","80%","34%","72%","70%","28%","12.5","48.4","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3124","B67083","785393","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",689,"5.8","100","SP","SP","9.2","SP","83%","87%","77%","92%","87%","37%","6.2","56.2","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3125","B67083","733229","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",240,"31.3","99.6","6.3","6.3","16.2",NA,"64%","72%","52%","76%","72%","40%","22.8","54.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3126","B67083","851000","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",365,"8.8","100","3.6","3.6","12.3","SP","86%","86%","76%","76%","69%","51%","9.7","51.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3128","B67083","800465","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",330,"29.4","99.7","SP","SP","16","SP","86%","97%","72%","77%","81%","42%","16.4","36.7","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3130","B67083","697095","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",252,"37.3","99.6","SP","SP","19.4",NA,"63%","53%","58%","97%","100%","77%","27.4","43.1","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3132","B67083","835536","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",434,"22.1","99.3","6.2","6.2","11","SP","73%","79%","67%","83%","78%","40%","17.7","42.7","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3133","B67083","776092","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",255,"29.4","100","SP","SP","16",NA,"100%","96%","67%","88%","88%","42%","16.4","55.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3134","B67083","689556","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",371,"27.5","100","18.9","19.1","12.1",NA,"72%","69%","54%","75%","75%","50%","25.5","41.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3135","B67083","777528","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",269,"32.7","100","10","10","16.3",NA,"74%","52%","63%","81%","88%","65%","21.6","62","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3136","B67083","750298","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",613,"27.1","99.7","5.5","5.5","8.4",NA,"79%","68%","61%","88%","75%","42%","22","58","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3137","B67083","819883","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",203,"39.9","100","SP","SP","15.7",NA,"67%","72%","56%","88%","81%","56%","15.6","45.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3138","B67083","803502","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",569,"24.6","99.6","12.7","12.7","12.4",NA,"73%","69%","47%","75%","75%","23%","27.9","35.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3139","B67083","801577","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",259,"15.1","100","5","5","8.8","SP","96%","82%","93%","100%","100%","93%","10.8","52.1","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3142","B67083","759481","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",437,"21.3","99.8","5.5","5.5","12.1",NA,"88%","84%","72%","93%","90%","53%","13.3","57.4","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3143","B67083","772496","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",430,"4","100","SP","SP","12.5",NA,"78%","71%","51%","90%","81%","50%","8.4","43.4","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3144","B67083","696307","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",294,"16","100","5.1","4.8","11.5",NA,"74%","74%","68%","69%","69%","31%","20.3","18.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3145","B67083","693715","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",504,"45.2","99.8","20.4","20.4","11.9",NA,"75%","76%","66%","82%","76%","37%","31.3","61.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3147","B67083","716405","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",323,"8.7","100","SP","SP","11.1","SP","80%","76%","48%","81%","84%","57%","6.2","41.9","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3148","B67083","749087","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",434,"21.2","99.8","8.8","9","12.2","SP","77%","80%","59%","89%","80%","30%","16.2","45.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3149","B67083","701807","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",250,"37.2","100","10.8","11.2","24",NA,"74%","68%","63%","70%","70%","60%","28.8","59.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3150","B67083","770434","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",297,"17.8","100","SP","SP","14.4","SP","88%","85%","81%","81%","75%","50%","15.9","46.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3151","B67083","682438","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",369,"38.8","100","15.4","15.2","13.2","SP","75%","75%","59%","86%","83%","48%","38.2","67.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3152","B67083","822639","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",244,"21.7","100","SP","SP","14.7",NA,"55%","71%","39%","100%","100%","82%","14.4","45.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3153","B67083","792586","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",439,"38.3","99.5","4.3","4.1","11.1",NA,"81%","78%","78%","79%","79%","36%","14.4","55.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3154","B67083","818500","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",365,"22.5","99.5","SP","SP","14.2",NA,"82%","73%","76%","71%","61%","26%","17","40.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3155","B67083","850365","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",323,"16.1","100","4.3","4.3","16.7",NA,"84%","79%","79%","93%","100%","71%","11.1","69.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3156","B67083","848751","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",401,"21.2","99.5","6.7","6.5","14.2",NA,"61%","61%","49%","86%","86%","55%","21.7","63.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3161","B67083","784290","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",279,"25.1","100","SP","SP","24.7",NA,"79%","79%","74%","88%","91%","42%","15.2","50.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3162","B67083","816906","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",281,"19.6","100","SP","SP","26.6",NA,"62%","69%","41%","85%","85%","50%","24.8","45.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3164","B67083","856673","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",628,"19.3","99.8","4.8","4.6","15.7","SP","92%","91%","73%","90%","92%","69%","17.4","51","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3165","B67091","756962","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",192,NA,"100",NA,NA,"59.3",NA,"68%","72%","52%","79%","58%","11%","32.8","11.2","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3167","B67091","805840","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",218,"SP","100","SP","SP","54.1","SP","78%","70%","52%","77%","64%","36%","25.2","35.4","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3168","B67091","693634","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",219,"SP","100",NA,NA,"43.3",NA,"53%","57%","33%","74%","59%","30%","27.5","27.6","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3169","B67091","745391","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",229,NA,"100","SP","SP","18.7","SP","65%","31%","31%","95%","74%","32%","9.7","45.8","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3170","B67091","750905","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",385,"2.9","99.5","SP","SP","37.6","SP","58%","61%","56%","81%","77%","33%","10.4","39.7","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3173","B67091","729663","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",57,"SP","100","SP","SP","38.5",NA,"N/R","N/R","N/R","N/R","N/R","N/R","20","SP","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3174","B67091","781487","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",529,"6.4","99.8","3.6","3.6","20.2","SP","77%","75%","60%","72%","72%","35%","9.2","44.8","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3175","B67091","868914","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",430,"4.4","99.3","SP","SP","30.2","SP","88%","62%","52%","83%","89%","56%","12","37.3","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3177","B67091","808007","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",631,"2.1","100","SP","SP","29.3","SP","65%","66%","46%","78%","78%","33%","9.8","42.9","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3178","B67091","777935","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",339,"10.6","99.4","SP","SP","20.9","SP","53%","53%","36%","84%","78%","34%","14.5","24.1","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3179","B67091","782130","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",185,"20","100","5.4","5.4","25.9","SP","86%","76%","71%","90%","90%","29%","15.3","20.7","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3180","B67091","714208","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",201,"SP","100","SP","SP","26.3","SP","50%","38%","29%","74%","78%","19%","16.4","31.9","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3181","B67091","744611","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",609,"4.8","99","2.1","2.1","32",NA,"55%","50%","28%","62%","56%","25%","9.4","18.3","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3182","B67091","828335","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",168,"7.7","100","SP","SP","32.1",NA,"79%","79%","58%","62%","62%","38%","26.7","18.8","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3184","B67091","733563","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",350,"3.1","100","SP","SP","22","SP","79%","75%","67%","78%","78%","41%","10.4","32.4","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3185","B67091","516651","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",307,"SP","100","SP","SP","26.7","SP","93%","93%","82%","91%","89%","83%","13.7","31.3","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3186","B67091","824690","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",651,"6.9","100","2.6","2.6","26.8","SP","64%","58%","46%","87%","84%","52%","13.2","37.4","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3187","B67091","737372","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",511,"SP","100","SP","SP","25.6","SP","67%","69%","62%","87%","83%","49%","10","32.7","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3188","B67091","706930","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",448,"7.1","100","SP","SP","22",NA,"61%","57%","39%","81%","62%","43%","11.4","28.9","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3189","B67091","829374","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",455,"3.5","100","4.4","4.4","20.8","SP","67%","65%","49%","80%","70%","37%","17.4","45.6","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3190","B67091","770655","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",159,"SP","100",NA,NA,"46.5","SP","44%","62%","31%","62%","75%","12%","15.3","29.7","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3191","B67091","775061","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",281,NA,"99.6",NA,NA,"50.8","SP","61%","46%","36%","64%","58%","28%","16.8","19.2","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3192","B67091","732354","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",350,"SP","100","SP","SP","39.1","SP","59%","68%","44%","93%","81%","41%","22.2","30.1","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
"3193","B67091","720518","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",554,"7.2","100","2.3","2.3","27.7","SP","70%","74%","67%","58%","69%","21%","15.2","23.5","YES","NO","NO","1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","English","173.60","816.30"
